job_title,location,city,salary_raw,salary_annual_inr
Backend Developer,"Egmore, Chennai, Tamil Nadu",Egmore,"From ₹19,500 a month",234000.0
Front End Developer,"Vadodara, Gujarat",Vadodara,Not specified,
Salesforce Developer,"Indore, Madhya Pradesh",Indore,Not specified,
Web Developer,"Lucknow, Uttar Pradesh",Lucknow,Not specified,
Front End Developer,"Vadodara, Gujarat",Vadodara,Not specified,
Intern PowerApps Developer,"Noida, Uttar Pradesh",Noida,"₹15,000 a month",180000.0
Graphic Design/UI-UX Intern,Remote,Remote,"₹5,000 - ₹10,000 a month",90000.0
Mobile App Team: Flutter Developer,"Saravanampatti, Coimbatore, Tamil Nadu",Saravanampatti,Not specified,
Fresher .NET/C# Developer,"Indore, Madhya Pradesh",Indore,Not specified,
Sr. Java Developer,"Bengaluru, Karnataka",Bengaluru,Not specified,
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Mumbai,Not specified,
Software/Web Developer,"Jodhpur, Rajasthan",Jodhpur,Not specified,
PHP Developer Fresher / Intern,"Bapatla, Andhra Pradesh",Bapatla,"₹1,80,000 - ₹3,00,000 a year",240000.0
Java Developer,"Kolkata, West Bengal",Kolkata,Not specified,
Full Stack Developer,"Airoli, Navi Mumbai, Maharashtra",Airoli,"₹10,37,031.81 - ₹17,02,419.63 a year",1369726.0
MERN Stack Developer,"Chandigarh, Chandigarh",Chandigarh,"₹30,000 - ₹45,000 a month",450000.0
Junior QA Engineer,"Bengaluru, Karnataka",Bengaluru,Not specified,
Full Stack Developer Intern,"Mysuru, Karnataka",Mysuru,"₹5,000 - ₹12,000 a month",102000.0
Embedded Systems Developer (1,"Bengaluru, Karnataka",Bengaluru,Not specified,
ASP.NET Developer Freshers,"Ahmedabad, Gujarat",Ahmedabad,Not specified,
Software Test Engineer,"Delhi, Delhi",Delhi,"From ₹13,500 a month",162000.0
Trainee Test Engineer,"Navi Mumbai, Maharashtra",Navi Mumbai,Not specified,
Software Engineer,"Thane, Maharashtra",Thane,"₹10,000 - ₹15,000 a month",150000.0
Software Test Engineer,"Jagatpur, Ahmedabad, Gujarat",Jagatpur,"₹50,000 - ₹1,80,000 a year",115000.0
Junior IT Technician,"Domlur, Bengaluru, Karnataka",Domlur,"₹13,575.92 - ₹25,173.10 a month",232494.0
Technical Support Executive,"Bengaluru, Karnataka",Bengaluru,"₹3,00,000 - ₹4,00,000 a year",350000.0
Senior Software Test Engineer,"Kolkata, West Bengal",Kolkata,"From ₹25,000 a month",300000.0
QA Intern,"Pitampura, Delhi, Delhi",Pitampura,"₹5,000 - ₹8,000 a month",78000.0
Application Support Engineer,"Mannargudi, Tamil Nadu",Mannargudi,"₹11,000 a month",132000.0
IT Technical Support Engineer,"Nagpur, Maharashtra",Nagpur,"₹10,000 - ₹15,000 a month",150000.0
IoT Engineer,"Noida, Uttar Pradesh",Noida,"₹12,014.36 - ₹38,443.89 a month",302750.0
Hardware & Network Engineer - Fresher & Experienced - Bodakdev - Ahmedabad,"Ahmedabad, Gujarat",Ahmedabad,"₹12,000 - ₹20,000 a month",192000.0
IT Technical Support Engineer,"Mumbai, Maharashtra",Mumbai,"₹1,50,000.23 - ₹2,16,000.19 a year",183000.0
Customer Support Engineer,"Calicut, Kerala",Calicut,"₹7,500 - ₹12,000 a month",117000.0
Desktop Support Engineer (Fresher),"Andheri East, Mumbai, Maharashtra",Andheri East,"₹13,000 - ₹16,000 a month",174000.0
Technical Engineer,"Puducherry, Puducherry",Puducherry,"₹9,000 - ₹12,000 a month",126000.0
Technical Engineer,"Agartala, Tripura",Agartala,"₹10,000 - ₹15,000 a month",150000.0
Technical Support Executive,"Aarey Milk Colony, Mumbai, Maharashtra",Aarey Milk Colony,"₹10,593.94 - ₹15,000.00 a month",153564.0
Desktop Support Engineer,"Dhule, Maharashtra",Dhule,"₹8,086 - ₹10,000 a month",108516.0
Software Test Engineer,"Vadavalli, Coimbatore, Tamil Nadu",Vadavalli,"₹18,000 - ₹25,000 a month",258000.0
Support Executive,"Mumbai, Maharashtra",Mumbai,Not specified,
IOS/Android Developer,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Not specified,
Wordpress Developer,"Ambala, Haryana",Ambala,"₹5,000 - ₹8,000 a month",78000.0
Asp.Net Developer,"Udaipur, Rajasthan",Udaipur,Not specified,
iOS Developer,Delhi,Delhi,Not specified,
Excellent Support Executive,"Surat, Gujarat",Surat,Not specified,
iOS Developer (React Native),"Chennai, Tamil Nadu",Chennai,Not specified,
php Developer (Laravel),"Kolkata, West Bengal",Kolkata,Not specified,
Trainee GIS Application Developer,"Hyderabad, Telangana",Hyderabad,Not specified,
Looking for Node Js Developer,"Bhilai, Chhattisgarh",Bhilai,"₹20,000 - ₹35,000 a month",330000.0
Full Stack Developer,"Mumbai, Maharashtra",Mumbai,"₹15,000 - ₹20,000 a month",210000.0
WordPress Developer,"Thergaon, Pune, Maharashtra",Thergaon,Not specified,
Junior ASP.NET Developer,"Surat, Gujarat",Surat,Not specified,
React JS Developer 3-5 Years,"Bengaluru, Karnataka",Bengaluru,"₹4,00,000 - ₹8,00,000 a year",600000.0
Junior PHP Developer,"Bengaluru, Karnataka",Bengaluru,Not specified,
Junior PHP Developer,"Delhi, Delhi",Delhi,Not specified,
Flutter Developer (Intern),"Noida, Uttar Pradesh",Noida,"₹2,00,000 - ₹3,00,000 a year",250000.0
iOS Developer,"Surat, Gujarat",Surat,"₹15,000 - ₹35,000 a month",300000.0
Software Engineer - PHP ( Full-time / Part-time Internship ),"Thane, Maharashtra",Thane,Not specified,
Full Stack Developer (.NET),"Navi Mumbai, Maharashtra",Navi Mumbai,Not specified,
Full Stack Developer,"Katargam, Surat, Gujarat",Katargam,"From ₹12,000 a month",144000.0
ASP.NET and SQL Developer,"Mahape, Maharashtra",Mahape,Not specified,
Linux Developer,"Baner, Pune, Maharashtra",Baner,"From ₹25,000 a month",300000.0
.NET Developer,"Chennai, Tamil Nadu",Chennai,Not specified,
Golang Developer,"Saket, Delhi, Delhi",Saket,Not specified,
Angular Web Developer job opening,"Ahmedabad, Gujarat",Ahmedabad,Not specified,
Flutter Developer,"Noida, Uttar Pradesh",Noida,Not specified,
Flutter Developer,"Vellore, Tamil Nadu",Vellore,"From ₹20,000 a month",240000.0
ReactJS Developer (Intern),"Dwarka, Nashik, Maharashtra",Dwarka,"₹5,000 - ₹10,000 a month",90000.0
MERN Stack Developer (Apply Only If you are from Kolkata),"Baguiati, Kolkata, West Bengal",Baguiati,"₹10,000 - ₹20,000 a month",180000.0
Technical Trainer,"Bengaluru, Karnataka",Bengaluru,Not specified,
MERN Stack Developer (Fresher) Vacancy:,"Kolkata, West Bengal",Kolkata,Not specified,
