college_name,city,state,nirf_rank,nirf_score,field,domain
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,Engineering,"Technology/IT,Engineering"
Indian Agricultural Research Institute,New Delhi,Delhi,1,87.98,Agriculture and Allied Sectors,Agriculture
Jamia Hamdard,New Delhi,Delhi,1,84.01,Pharmacy,Healthcare
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,1,94.46,Medical,Healthcare
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,1,83.32,Management,Business/Finance
National Law School of India University,Bengaluru,Karnataka,1,83.83,Law,Law
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,1,84.92,Architecture and Planning,"Creative/Design,Engineering"
National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,2,80.29,Pharmacy,Healthcare
Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,2,80.83,Medical,Healthcare
Indian Institute of Management Bangalore,Bengaluru,Karnataka,2,81.16,Management,Business/Finance
ICAR - National Dairy Research Institute,Karnal,Haryana,2,71.18,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,Engineering,"Technology/IT,Engineering"
National Law University,New Delhi,Delhi,2,77.48,Law,Law
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,2,80.71,Architecture and Planning,"Creative/Design,Engineering"
Christian Medical College,Vellore,Tamil Nadu,3,75.11,Medical,Healthcare
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,3,78.95,Pharmacy,Healthcare
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,83.09,Engineering,"Technology/IT,Engineering"
Punjab Agricultural University,Ludhiana,Punjab,3,69.63,Agriculture and Allied Sectors,Agriculture
National Institute of Technology Calicut,Kozhikode,Kerala,3,79.51,Architecture and Planning,"Creative/Design,Engineering"
Nalsar University of Law,Hyderabad,Telangana,3,77.05,Law,Law
Indian Institute of Management Kozhikode,Kozhikode,Kerala,3,77.9,Management,Business/Finance
"National Institute of Mental Health and Neuro Sciences, Bangalore",Bengaluru,Karnataka,4,71.92,Medical,Healthcare
JSS College of Pharmacy,Ooty,Tamil Nadu,4,77.13,Pharmacy,Healthcare
Banaras Hindu University,Varanasi,Uttar Pradesh,4,68.32,Agriculture and Allied Sectors,Agriculture
The West Bengal National University of Juridical Sciences,Kolkata,West Bengal,4,76.39,Law,Law
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,4,69.71,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Technology Delhi,New Delhi,Delhi,4,76.25,Management,Business/Finance
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,Engineering,"Technology/IT,Engineering"
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,Engineering,"Technology/IT,Engineering"
Indian Institute of Management Calcutta,Kolkata,West Bengal,5,75.07,Management,Business/Finance
Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,5,70.74,Medical,Healthcare
Institute of Chemical Technology,Mumbai,Maharashtra,5,74.69,Pharmacy,Healthcare
"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,5,67.76,Agriculture and Allied Sectors,Agriculture
Symbiosis Law School,Pune,Maharashtra,5,74.62,Law,Law
School of Planning and Architecture New Delhi,New Delhi,Delhi,5,69.0,Architecture and Planning,"Creative/Design,Engineering"
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,6,70.07,Medical,Healthcare
Jamia Millia Islamia,New Delhi,Delhi,6,73.12,Law,Law
Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,6,67.23,Architecture and Planning,"Creative/Design,Engineering"
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,6,64.92,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,Engineering,"Technology/IT,Engineering"
JSS College of Pharmacy,Mysore,Karnataka,6,72.89,Pharmacy,Healthcare
Indian Institute of Management Mumbai,Mumbai,Maharashtra,6,74.73,Management,Business/Finance
Jamia Millia Islamia,New Delhi,Delhi,7,66.21,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,71.47,Law,Law
Banaras Hindu University,Varanasi,Uttar Pradesh,7,69.54,Medical,Healthcare
Panjab University,Chandigarh,Chandigarh,7,72.76,Pharmacy,Healthcare
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,7,63.75,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology Guwahati,Guwahati,Assam,7,71.86,Engineering,"Technology/IT,Engineering"
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,7,74.43,Management,Business/Finance
Gujarat National Law University,Gandhinagar,Gujarat,8,69.56,Law,Law
"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,8,72.27,Pharmacy,Healthcare
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,8,68.81,Medical,Healthcare
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,Engineering,"Technology/IT,Engineering"
G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,8,61.77,Agriculture and Allied Sectors,Agriculture
Indian Institute of Management Indore,Indore,Madhya Pradesh,8,73.53,Management,Business/Finance
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,8,65.08,Architecture and Planning,"Creative/Design,Engineering"
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,9,70.86,Pharmacy,Healthcare
XLRI - Xavier School of Management,Jamshedpur,Jharkhand,9,68.13,Management,Business/Finance
"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,9,61.37,Agriculture and Allied Sectors,Agriculture
Siksha `O` Anusandhan,Bhubaneswar,Odisha,9,65.4,Law,Law
National Institute of Technology Rourkela,Rourkela,Odisha,9,64.88,Architecture and Planning,"Creative/Design,Engineering"
"Kasturba Medical College, Manipal",Manipal,Karnataka,9,67.42,Medical,Healthcare
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,Engineering,"Technology/IT,Engineering"
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10,66.69,Engineering,"Technology/IT,Engineering"
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,10,63.05,Architecture and Planning,"Creative/Design,Engineering"
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,10,64.96,Law,Law
"Madras Medical College and Government General Hospital, Chennai",Chennai,Tamil Nadu,10,64.12,Medical,Healthcare
SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,10,69.94,Pharmacy,Healthcare
Indian Institute of Technology Bombay,Mumbai,Maharashtra,10,67.16,Management,Business/Finance
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,10,61.04,Agriculture and Allied Sectors,Agriculture
University of Agricultural Sciences,Bengaluru,Karnataka,11,59.13,Agriculture and Allied Sectors,Agriculture
Management Development Institute,Gurugram,Haryana,11,66.85,Management,Business/Finance
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11,68.9,Pharmacy,Healthcare
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,11,64.1,Medical,Healthcare
Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,Engineering,"Technology/IT,Engineering"
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11,61.83,Architecture and Planning,"Creative/Design,Engineering"
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,11,63.6,Law,Law
Indian Institute of Management Rohtak,Rohtak,Haryana,12,66.49,Management,Business/Finance
School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,12,61.75,Architecture and Planning,"Creative/Design,Engineering"
"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,12,56.8,Agriculture and Allied Sectors,Agriculture
Aligarh Muslim University,Aligarh,Uttar Pradesh,12,63.54,Law,Law
Jadavpur University,Kolkata,West Bengal,12,65.62,Engineering,"Technology/IT,Engineering"
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,12,63.72,Medical,Healthcare
National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,12,68.82,Pharmacy,Healthcare
Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,13,56.67,Agriculture and Allied Sectors,Agriculture
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala,13,63.68,Medical,Healthcare
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,13,68.07,Pharmacy,Healthcare
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,13,65.41,Engineering,"Technology/IT,Engineering"
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13,61.58,Law,Law
Chandigarh University,Mohali,Punjab,13,61.47,Architecture and Planning,"Creative/Design,Engineering"
Symbiosis Institute of Business Management,Pune,Maharashtra,13,65.13,Management,Business/Finance
All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,14,63.16,Medical,Healthcare
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,14,60.65,Law,Law
National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,14,65.53,Pharmacy,Healthcare
Indian Institute of Management Raipur,Raipur,Chhattisgarh,14,64.4,Management,Business/Finance
Aligarh Muslim University,Aligarh,Uttar Pradesh,14,61.01,Architecture and Planning,"Creative/Design,Engineering"
